,0
0,-2.7241414
1,-2.7241414
2,133.77335
3,275.4289
4,275.4289
5,275.4289
6,275.4289
7,275.4289
8,275.4289
9,275.4289
10,275.4289
11,275.4289
12,275.4289
13,287.59384
14,306.95065
15,307.85425
16,307.85425
17,307.85425
18,313.44678
19,313.44678
20,313.44678
21,320.44833
22,320.44833
23,320.44833
24,324.17462
25,324.17462
26,324.17462
27,324.18665
28,338.34155
29,352.40872
30,352.40872
31,352.40872
32,352.46555
33,352.46555
34,352.46555
35,352.46555
36,352.46555
37,352.46555
38,352.46555
39,352.46555
40,352.46555
41,352.46555
42,352.46555
43,352.46555
44,352.46555
45,352.46555
46,352.46622
47,352.46622
48,352.46622
49,352.46622
50,352.46622
51,352.46622
52,352.46622
53,352.46622
54,352.46622
55,352.46622
56,352.46622
57,352.4905
58,352.4905
59,352.4905
60,352.4905
61,352.4905
62,352.4905
63,352.4905
64,352.4905
65,352.4905
66,352.4905
67,352.4905
68,352.4905
69,352.4905
70,352.4905
71,352.4905
72,352.4905
73,352.4905
74,352.4905
75,352.4905
76,352.4905
77,352.4905
78,352.4905
79,352.4905
80,352.4905
81,352.4905
82,352.4905
83,352.4905
84,352.4905
85,352.4905
86,352.4905
87,352.4905
88,352.4905
89,352.4905
90,352.4905
91,352.4905
92,352.4905
93,352.4905
94,352.4905
95,352.4905
96,352.4905
97,352.4905
98,352.4905
99,352.4905
