,0
0,0.5405781269073486
1,1.0999271869659424
2,1.152073621749878
3,1.2013704776763916
4,3.791456460952759
5,0.8189365863800049
6,1.3510560989379883
7,2.004563570022583
8,1.518998384475708
9,1.751791000366211
10,1.4811954498291016
11,1.1330437660217285
12,1.4596049785614014
13,1.9212234020233154
14,1.723586082458496
15,1.5840611457824707
16,1.450709581375122
17,1.5209717750549316
18,1.2049036026000977
19,1.7799718379974365
20,2.0221192836761475
21,1.5830986499786377
22,1.4142940044403076
23,1.241569995880127
24,1.5606722831726074
25,1.7766852378845215
26,1.320500373840332
27,2.1410491466522217
28,1.7955741882324219
29,1.3235375881195068
30,1.2573037147521973
31,1.4875094890594482
32,1.081850290298462
33,1.5350170135498047
34,1.4978315830230713
35,1.678199291229248
36,1.4958555698394775
37,1.2123429775238037
38,1.3781468868255615
39,1.669206142425537
40,2.1429896354675293
41,2.0087857246398926
42,1.234985589981079
43,1.4693982601165771
44,1.8524160385131836
45,1.737492561340332
46,1.3142242431640625
47,1.5159811973571777
48,1.7751131057739258
49,1.0274720191955566
50,1.1512267589569092
51,1.5490751266479492
52,1.5282607078552246
53,1.3248848915100098
54,1.0962800979614258
55,1.3397071361541748
56,1.3719875812530518
57,1.6050045490264893
58,1.9128546714782715
59,1.3095941543579102
60,1.4066765308380127
61,1.3996093273162842
62,1.1626877784729004
63,1.7947196960449219
64,1.6996574401855469
65,1.3450055122375488
66,1.4425647258758545
67,1.633681297302246
68,1.5658278465270996
69,1.3718140125274658
70,1.413405418395996
71,1.073035717010498
72,1.477973461151123
73,1.2975389957427979
74,2.9180407524108887
75,1.3050384521484375
76,1.6475090980529785
77,1.4920413494110107
78,1.4474108219146729
79,1.1289279460906982
80,1.6065623760223389
81,1.3529858589172363
82,1.726862907409668
83,1.8715293407440186
84,1.54417085647583
85,1.091933250427246
86,1.9710426330566406
87,1.2470815181732178
88,1.3412115573883057
89,1.4565880298614502
90,1.5595200061798096
91,1.3214852809906006
92,1.3889174461364746
93,1.4150516986846924
94,2.102245569229126
95,1.5510468482971191
96,1.208552598953247
97,1.313901662826538
