,0
0,-94.3822
1,19.62539
2,256.9951
3,256.9951
4,256.9951
5,256.9951
6,288.37402
7,328.99792
8,328.99792
9,328.99792
10,328.99792
11,328.99792
12,328.99792
13,328.99792
14,328.99792
15,328.99792
16,328.99792
17,328.99792
18,338.0087
19,338.0087
20,352.47137
21,352.47137
22,352.47137
23,352.47137
24,352.47137
25,352.47137
26,352.47137
27,352.47137
28,352.47137
29,352.47137
30,352.47137
31,352.47137
32,352.47137
33,352.47137
34,352.47137
35,352.47137
36,352.47137
37,352.47137
38,352.47137
39,352.47137
40,352.47137
41,352.47137
42,352.47137
43,352.47137
44,352.47137
45,352.47137
46,352.47137
47,352.47137
48,352.47137
49,352.47137
50,352.47137
51,352.47137
52,352.47205
53,352.47205
54,352.47205
55,352.47205
56,352.47205
57,352.47205
58,352.47205
59,352.47205
60,352.47205
61,352.47205
62,352.4931
63,352.4931
64,352.4931
65,352.4931
66,352.4931
67,352.4931
68,352.4931
69,352.4931
70,352.4931
71,352.4931
72,352.4931
73,352.4931
74,352.4931
75,352.4931
76,352.4931
77,352.4931
78,352.4931
79,352.4931
80,352.4931
81,352.4931
82,352.4931
83,352.4931
84,352.4931
85,352.4931
86,352.4931
87,352.4931
88,352.4931
89,352.4931
90,352.4931
91,352.4931
92,352.4931
93,352.4931
94,352.4931
95,352.4931
96,352.4931
97,352.4931
98,352.4931
99,352.4931
