,0
0,135.33253
1,135.33253
2,297.51044
3,297.51044
4,297.51044
5,297.51044
6,297.51044
7,297.51044
8,297.51044
9,297.51044
10,297.51044
11,309.90213
12,309.90213
13,309.90213
14,323.05487
15,323.05487
16,324.14612
17,336.50647
18,336.50647
19,338.08646
20,338.08646
21,338.08646
22,338.08646
23,338.08646
24,338.08646
25,338.11615
26,338.11615
27,338.35736
28,338.35736
29,338.35736
30,338.35736
31,338.35736
32,338.35736
33,352.4592
34,352.4592
35,352.4592
36,352.4592
37,352.4592
38,352.4592
39,352.4592
40,352.4654
41,352.4654
42,352.4654
43,352.4654
44,352.4654
45,352.4654
46,352.4654
47,352.4654
48,352.4654
49,352.4654
50,352.4654
51,352.4654
52,352.4654
53,352.4654
54,352.4654
55,352.4654
56,352.4654
57,352.4654
58,352.4654
59,352.4654
60,352.4654
61,352.4654
62,352.4654
63,352.4654
64,352.4654
65,352.4654
66,352.4654
67,352.4654
68,352.4654
69,352.4654
70,352.4654
71,352.4654
72,352.48883
73,352.48883
74,352.48883
75,352.48883
76,352.48883
77,352.48883
78,352.48883
79,352.48883
80,352.48883
81,352.48883
82,352.48883
83,352.48883
84,352.48883
85,352.48883
86,352.48883
87,352.48883
88,352.48883
89,352.48883
90,352.48883
91,352.48883
92,352.48883
93,352.48883
94,352.48883
95,352.48883
96,352.48883
97,352.48883
98,352.48883
99,352.48883
