,0
0,57.29602
1,57.29602
2,167.0296
3,183.13582
4,256.69513
5,256.69513
6,259.04712
7,259.04712
8,259.04712
9,337.98703
10,337.98703
11,337.98703
12,337.98703
13,337.98703
14,337.98703
15,337.98703
16,339.32883
17,339.32883
18,339.32883
19,339.32883
20,339.32883
21,339.32883
22,339.32883
23,339.32883
24,339.32883
25,350.89536
26,350.89536
27,350.89536
28,350.89536
29,350.89536
30,350.89536
31,350.89536
32,350.89536
33,350.89536
34,350.89536
35,350.89536
36,350.89536
37,352.1263
38,352.1263
39,352.4691
40,352.4691
41,352.4691
42,352.4691
43,352.4691
44,352.4691
45,352.4691
46,352.4691
47,352.4691
48,352.47903
49,352.47903
50,352.47903
51,352.47903
52,352.48486
53,352.49277
54,352.49277
55,352.49277
56,352.49277
57,352.49277
58,352.49277
59,352.49277
60,352.49277
61,352.49277
62,352.49277
63,352.49277
64,352.49277
65,352.49277
66,352.49277
67,352.49277
68,352.49277
69,352.49277
70,352.49277
71,352.49277
72,352.49277
73,352.49277
74,352.49277
75,352.49277
76,352.49277
77,352.49277
78,352.49277
79,352.49277
80,352.49277
81,352.49277
82,352.49277
83,352.49277
84,352.49277
85,352.49277
86,352.49277
87,352.49277
88,352.49277
89,352.49277
90,352.49277
91,352.49277
92,352.49277
93,352.49277
94,352.49277
95,352.49277
96,352.49277
97,352.49277
98,352.49277
99,352.49277
