,0
0,-15.509471
1,-15.509471
2,259.88806
3,259.88806
4,271.93353
5,302.9669
6,302.9669
7,302.9669
8,310.85947
9,310.85947
10,310.85947
11,314.646
12,314.646
13,314.646
14,314.646
15,314.646
16,314.646
17,314.646
18,314.646
19,314.646
20,314.646
21,314.646
22,314.646
23,322.7229
24,322.7229
25,352.3145
26,352.3145
27,352.3145
28,352.3145
29,352.3145
30,352.3145
31,352.3145
32,352.3145
33,352.3145
34,352.3145
35,352.48868
36,352.48868
37,352.48868
38,352.48868
39,352.48868
40,352.48868
41,352.48868
42,352.48868
43,352.48868
44,352.48868
45,352.48868
46,352.48868
47,352.48895
48,352.48895
49,352.48895
50,352.48895
51,352.48895
52,352.48895
53,352.48895
54,352.48895
55,352.48895
56,352.48895
57,352.48895
58,352.48895
59,352.48895
60,352.48895
61,352.48895
62,352.48895
63,352.48895
64,352.48895
65,352.48895
66,352.48895
67,352.48895
68,352.48895
69,352.48895
70,352.48895
71,352.48895
72,352.48895
73,352.48895
74,352.48895
75,352.48895
76,352.48895
77,352.48895
78,352.48895
79,352.48895
80,352.49402
81,352.49402
82,352.49402
83,352.49402
84,352.49402
85,352.49402
86,352.49402
87,352.49402
88,352.49402
89,352.49402
90,352.49402
91,352.49402
92,352.49402
93,352.49402
94,352.49402
95,352.49402
96,352.49402
97,352.49402
98,352.49402
99,352.49402
