,0
0,-51.273952
1,16.938038
2,243.75949
3,243.75949
4,243.75949
5,305.0529
6,305.0529
7,313.67328
8,313.67328
9,313.67328
10,335.14304
11,335.14304
12,335.14304
13,335.14304
14,335.14304
15,337.911
16,337.911
17,337.911
18,338.3176
19,338.3176
20,338.3176
21,338.3176
22,338.3176
23,338.3176
24,338.3176
25,338.3176
26,338.3176
27,338.3176
28,338.3269
29,338.3269
30,338.3269
31,338.33
32,338.33
33,338.3505
34,338.3505
35,338.3505
36,338.3505
37,338.3505
38,338.3505
39,338.3505
40,338.3505
41,338.3505
42,338.3505
43,338.3505
44,338.3505
45,338.3505
46,338.3505
47,338.3505
48,338.3505
49,338.3505
50,338.3505
51,338.3505
52,338.3505
53,338.3505
54,338.3505
55,338.3505
56,338.3505
57,338.3505
58,338.3505
59,338.3505
60,338.3505
61,338.3505
62,338.3505
63,338.3505
64,338.3505
65,338.3505
66,338.3505
67,338.3505
68,338.3505
69,338.3505
70,338.3505
71,338.3505
72,338.3505
73,338.3505
74,338.3505
75,338.3505
76,338.3505
77,338.3531
78,338.3531
79,338.3531
80,338.3531
81,338.3531
82,338.3531
83,338.3531
84,338.3531
85,338.3531
86,338.3531
87,338.3531
88,338.3531
89,338.3531
90,338.3531
91,338.3531
92,338.3531
93,338.3531
94,338.3531
95,338.3531
96,338.3531
97,338.3531
98,338.3531
99,338.3531
