,0
0,-234.72092
1,69.19543
2,165.6189
3,249.75583
4,249.75583
5,249.75583
6,252.46886
7,252.46886
8,252.46886
9,252.46886
10,252.46886
11,252.46886
12,258.80835
13,258.80835
14,258.80835
15,272.2721
16,272.2721
17,279.89413
18,280.15375
19,309.9543
20,309.9543
21,309.9543
22,309.9543
23,311.87158
24,311.87158
25,311.87158
26,322.38394
27,322.38394
28,322.38394
29,322.38394
30,322.38394
31,338.34955
32,338.34955
33,338.34955
34,338.34955
35,338.34955
36,338.34955
37,338.34955
38,338.34955
39,338.34955
40,338.34955
41,338.34955
42,338.34955
43,338.34955
44,338.34955
45,338.34955
46,338.34955
47,338.34955
48,338.34955
49,338.34955
50,338.34955
51,338.34955
52,338.34955
53,338.34955
54,338.34955
55,338.34955
56,338.34955
57,338.34955
58,338.34955
59,338.34955
60,338.34955
61,338.34955
62,338.34955
63,338.34955
64,338.34955
65,338.34955
66,338.34955
67,338.34955
68,338.35062
69,338.35062
70,338.35062
71,338.35062
72,338.35062
73,338.35062
74,338.35062
75,338.35062
76,338.35062
77,338.35062
78,338.35062
79,338.35062
80,338.35062
81,338.35062
82,338.35062
83,338.35062
84,338.35062
85,338.35062
86,338.35062
87,338.35062
88,338.35062
89,338.35062
90,338.35062
91,338.35062
92,338.35062
93,338.35196
94,338.35196
95,338.35196
96,338.35196
97,338.35196
98,338.35196
99,338.35196
