,0
0,-22.341679
1,-22.341679
2,250.91075
3,268.26172
4,268.26172
5,304.4217
6,304.4217
7,304.4217
8,327.936
9,327.936
10,327.936
11,327.936
12,327.936
13,327.936
14,327.936
15,331.64893
16,331.64893
17,331.64893
18,331.64893
19,331.64893
20,331.64893
21,331.64893
22,331.64893
23,331.64893
24,338.29602
25,338.29602
26,338.29602
27,338.29602
28,338.29602
29,338.29602
30,338.29602
31,338.29602
32,338.29602
33,338.29602
34,338.29602
35,338.34543
36,338.34543
37,352.4515
38,352.4515
39,352.4515
40,352.4515
41,352.4515
42,352.4515
43,352.4515
44,352.4515
45,352.4515
46,352.47534
47,352.47534
48,352.47534
49,352.47534
50,352.47534
51,352.47534
52,352.47534
53,352.47534
54,352.47534
55,352.47534
56,352.47534
57,352.47534
58,352.47534
59,352.47534
60,352.47534
61,352.47534
62,352.47534
63,352.47534
64,352.47534
65,352.47534
66,352.47534
67,352.47534
68,352.47534
69,352.47534
70,352.47534
71,352.47534
72,352.47534
73,352.47534
74,352.47534
75,352.47534
76,352.47534
77,352.47534
78,352.47534
79,352.47534
80,352.47534
81,352.47534
82,352.47534
83,352.47534
84,352.47534
85,352.47534
86,352.47534
87,352.47534
88,352.47534
89,352.48953
90,352.48953
91,352.48953
92,352.48953
93,352.48953
94,352.48953
95,352.48953
96,352.48953
97,352.48953
98,352.48953
99,352.48953
