,0
0,0.8669917583465576
1,2.644447088241577
2,1.7147934436798096
3,1.8912379741668701
4,2.221848487854004
5,1.2664389610290527
6,3.1140170097351074
7,1.5940744876861572
8,2.1130924224853516
9,2.3384878635406494
10,2.2761335372924805
11,2.1524579524993896
12,2.5306527614593506
13,2.206932783126831
14,2.3579018115997314
15,1.5036842823028564
16,1.401055097579956
17,1.6684691905975342
18,1.4539434909820557
19,2.0434694290161133
20,1.6846003532409668
21,1.9329373836517334
22,1.0658926963806152
23,1.3378775119781494
24,1.26503586769104
25,1.413785457611084
26,0.9176359176635742
27,1.4551517963409424
28,1.8688745498657227
29,1.7942259311676025
30,1.9903972148895264
31,1.954991340637207
32,1.101510763168335
33,1.3291115760803223
34,1.415395975112915
35,1.3639791011810303
36,0.9640498161315918
37,1.9233198165893555
38,1.7634553909301758
39,1.9871251583099365
40,1.4498398303985596
41,1.554802656173706
42,1.6210033893585205
43,1.9100549221038818
44,1.4548120498657227
45,1.4667878150939941
46,1.0873448848724365
47,1.4539716243743896
48,1.648165225982666
49,1.3678267002105713
50,1.327430009841919
51,1.6929171085357666
52,1.5510025024414062
53,1.5105116367340088
54,1.347818374633789
55,1.1315679550170898
56,1.5214836597442627
57,1.3465287685394287
58,1.1720809936523438
59,1.5323891639709473
60,1.3158862590789795
61,1.2368547916412354
62,1.2668159008026123
63,1.4688324928283691
64,1.3768656253814697
65,0.8647971153259277
66,1.441004753112793
67,1.620307207107544
68,1.1486098766326904
69,1.3966107368469238
70,1.2006516456604004
71,1.4014296531677246
72,2.045440673828125
73,1.7064311504364014
74,2.0163350105285645
75,1.1719093322753906
76,1.837095022201538
77,1.6358215808868408
78,1.1071751117706299
79,1.9113736152648926
80,1.237309455871582
81,1.121624231338501
82,1.4717950820922852
83,1.2703032493591309
84,1.4550597667694092
85,1.4017894268035889
86,1.4032108783721924
87,1.6512322425842285
88,3.876133918762207
89,1.3275089263916016
90,1.710447072982788
91,1.8908202648162842
92,1.1780312061309814
93,1.094923973083496
94,1.273447036743164
95,1.6097958087921143
96,2.070749044418335
97,1.8372008800506592
